Event,Group,Date (AD Year),SCA Year,Location,Address,City,Zip Code,Autocrat,Toilets,Potable Water,Showers,Camping Availability (Sq Ft),Feast Hall,Equestrian,Archery Allowed,War Field,12th Night,Site Contact,Parking Issues,Site Costs,Attendance,Site Issues,Other Information
Halloween Revel,Province of Golden Rivers,10/30/1976,11,"Alumni Grove, California State University, Sacramento",State University Dr.,Sacramento,95826,Josette du Chantecleer,,,,,,,,,,,,,,,
Fall Feast and Revel,Barony of Allyshia,11/6/1976,11,Cooper Gulch Hall,1720 10th Street,Eureka,95501,,,,,,,,,,,,,,,,
Fall Tourney,Province of Southern Shores,11/13/1976,11,"Palm Oval Drive, Stanford University",,Stanford,94305,Eudaimon of Alexandros,,,,,,,,,,,,,,,
Second Annual Potluck Feast and Revel,College of Saint David's,11/20/1976,11,UC Santa Cruz - Senior Commons of Crown College,1156 High Street,Santa Cruz,95064,Joanna de Lisane,,,,,,,,,,,,,,,
Twelfth Night,Kingdom of the West,1/8/1977,11,Richmond Auditorium,403 Civic Center Plaza,Richmond,94804,,,,,,,,,,,,,,,,
Fencing Workshop,Barony of Allyshia,2/6/1977,11,Eureka Senior High School,1915 J Street,Eureka,95501,Robert Kinslayer,,,,,,,,,,,,,,,
Valentine Revel,Province of the Mists,2/12/1977,11,Mills College - Student Union,5000 MacArthur Blvd. ,Oakland,94613,,,,,,,,,,,,,,,,
Tourney,College of Saint David's,2/26/1977,11,UC- Santa Cruz,1156 High Street,Santa Cruz,95064,,,,,,,,,,,,,,,,
Helmsgaard Informal Tourney,Province of the Mists,3/12/1977,11,Tilden Regional Park,2501 Grizzly Peak Blvd,Berkeley,94708,Terrence of Halliday,,,,,,,,,,,,,,,
March Crown,Kingdom of the West,3/19/1977,11,Stern Grove,19th Ave. and Sloat,San Francisco,94132,Thomas for the Interim and Debreceni Ilona,,,,,,,,,,,,,,,
Spring Revel,Province of St. Andrew's,4/17/1977,11,Stern Grove,19th Ave. and Sloat,San Francisco,94132,Debreceni Ilona and Stephen von Behrend,,,,,,,,,,,,,,,
Beltane,Kingdom of the West,4/23/1977,11,Big Trees - Bort Meadows,7867 Redwood Rd,Oakland,94619,,,,,X,,,,,,,,,,,
New Year's Eve Feast,Province of Southern Shores,4/30/1977,11,Covenant Presbyterian Church,670 East Meadow Dr.,Palo Alto,94306,Eudaimon of Alexandros,,,,,,,,,,,,,,,
May Day Tourney and Tenth Anniversary Celebration,Province of Southern Shores,5/1/1977,12,"Palm Oval Drive, Stanford University",,Stanford,94305,Eudaimon of Alexandros,,,,,,,,,,,,,,,
St. Domitian's Day Frolic and Revel,College of Saint David's,5/21/1977,12,UC Santa Cruz - Senior Commons of Crown College,1156 High Street,Santa Cruz,95064,Joanna de Lisane,,,,,,,,,,,,,,,
Celebration of May,Barony of Allyshia,5/21/1977,12,Patrick's Point State Park,Patrick's Point Drive,Trinidad,95570,,,,,,,,,,,,,,,,
Provincial Festival,Province of Southern Shores,6/4/1977,12,Tilden Regional Park,2501 Grizzly Peak Blvd,Berkeley,94708,Steven Mac Eanruig,,,,,,,,,,,,,,,
Midsummer Madness,Province of St. Andrew;s,6/11/1977,12,Frontierland Park,1810 Francisco Blvd,Pacifica,94044,,,,,,,,,,,,,,,,
June Crown Tournament,Kingdom of the West,6/18/1977,12,Big Trees - Bort Meadows,7867 Redwood Rd,Oakland,94619,,,,,X,,,,,,,,,,,
Purgatorio Coronation,Kingdom of the West,7/30/1977,12,Big Trees - Bort Meadows,7867 Redwood Rd,Oakland,94619,,,,,X,,,,,,,,,,,
Westermark Tourney,Barony of the Westermark,9/14/1977,12,"Coyote Point Park, Knoll's Picnic Area",1701 Coyote Point Drive,San Mateo,94401,Owain Apaceon,,,,,,,,,,,,,,,
October Crown,Kingdom of the West,9/24/1977,12,Big Trees - Bort Meadows,7867 Redwood Rd,Oakland,94619,,,,,X,,,,,,,,,,,
St. Andrews Anniversary Tourney,Shire of Cloondara,10/1/1977,12,Signmund Stern Grove,19th Ave. and Sloat,San Francisco,94132,,,,,,,,,,,,,,,,
Prize Tourney,Barony of Tarnmist,10/8/1977,12,Lila Keiser Park,1 Park Street,Morro Bay,93442,,,,,,,,,,,,,,,,
Provincial Archery Tourney and Holloween Revel,Province of the Mists,10/30/1977,12,"Alderwood Field, Mills College",5000 MacArthur Boulevard,Oakland,94613,Micaela de Neuville,,,,,,,,,,,,,,,
Third Duke's Dinner,Province of the Mists,11/5/1977,12,St. Mark's Episcopal Church,2300 Bancroft Way,Berkeley,94704,Adrienne of Toledo,,,,,,,,,,,,,,,
Fall Tourney,Province of Southern Shores,11/6/1977,12,"Palm Oval Drive, Stanford University",,Stanford,94305,Knud Kaukinene,,,,,,,,,,,,,,,
Harvest Feast and Revel,Barony of Allyshia,11/12/1977,12,Freshwater Elementary School,75 Greenwood Heights Dr.,Eureka,95503,Merewyn de Lyonesse,,,,,,,,,,,,,,,
Thanksgiving Pot Luck Feast and Revel,College of Saint David's,11/19/1977,12,UC Santa Cruz- Cowell Fireside Lounge,1156 High Street,Santa Cruz,95064,Loanna de Lisane,,,,,,,,,,,,,,,
Yule Revel,Shire of Cloondara,12/17/1977,12,Signmund Stern Grove,19th Ave. and Sloat,San Francisco,94132,,,,,,,,,,,,,,,,
Twelfth Night Coronation and Revel,Kingdom of the West,1/7/1978,12,Richmond Auditorium,403 Civic Center Plaza,Richmond,94804,,,,,,,,,,,,,,,,
Lord Defender's Tourney,Barony of Eskalya,1/14/1978,12,,,Anchorage,,,,,,,,,,,,,,,,,
Valentine Revel,Province of the Mists,2/11/1978,12,Mills College - Student Union,5000 MacArthur Blvd. ,Oakland,94613,Micaela de Neuville,,,,,,,,,,,,,,,
College of St. David's Tourney,College of Saint David's,2/25/1978,12,,,Santa Cruz,,Joanna de Lisane,,,,,,,,,,,,,,,
College of Equestrian Arts,Kingdom of the West,3/3/1978,12,Bidwell Park,Old Chico Canyon Road,Chico,95928,,,,,,,,,,,,,,,,
Allyshian Tourney de Lyonesse,Barony of Allyshia,3/4/1978,12,Coopers Gulch Recreation Center,1720 10th Street,Eureka,95501,Gabrielle Cynara d'Angers,,,,,,,,,,,,,,,
March Crown,Kingdom of the West,3/18/1978,12,Coyote Creek Park,985 Hellyer Ave.,San Jose,95111,,,,,,,,,,,,,,,,
March Crown,Kingdom of the West,3/24/1978,12,Lodi Lake Park,1101 West Turner Road,Lodi,95240,,,,,,,,,,,,,,,,
April Fools Tourney,Province of Golden Rivers,4/1/1978,12,,,,,Edward of South-haven or Ursula Bhouqlesbayne,,,,,,,,,,,,,,,
Beltane,Kingdom of the West,4/29/1978,13,Big Trees - Bort Meadows,7867 Redwood Rd,Oakland,94619,Kevin Perigrynne and Matriona du Cameliard,,,,X,,,,,,,,,,,
May Feast and Tourney ,Province of Southern Shores,5/6/1978,13,Covenant Presbyterian Church,670 East Meadow Dr.,Palo Alto,94306,Knud Kaukinen,,,,,,,,,,,,,,,
Second Midsummer Feast and Farrago,Province of the Mists,5/13/1978,13,St. Mark's Episcopal Church,2300 Bancroft Way,Berkeley,94704,,,,,,,,,,,,,,,,
First Principality of the Mists Tournament,Principality of the Mists,5/14/1978,13,Stern Grove,19th Ave. and Sloat,San Francisco,94132,,,,,,,,,,,,,,,,
"May Feast, Fest, and Tourney",Barony of Allyshia,5/27/1978,13,Beech Creek Group Campground - Patrick Point State Park,4150 Patrick's Point Dr,Trinidad,95570,Ceridwen of Allyshia,,,,,,,,,,,,,,,
Open Aire Pleasure Faire,Barony of Eskalya,6/10/1978,13,Campbell Creek Park,2365 East 48th Ave.,Anchorage,99507,Janvur,,,,,,,,,,,,,,,
June Crown,Kingdom of the West,6/24/1978,13,Big Trees - Bort Meadows,7867 Redwood Rd,Oakland,94619,,,,,X,,,,,,,,,,,
Crusade to Rescue the King and Queen,Barony of Tarnmist,7/15/1978,13,,,San Luis Obispo,,,,,,,,,,,,,,,,,
College of Equestrian Arts,Kingdom of the West,8/5/1978,13,Orangevale Community Park,6826 Hazel Ave.,Orangevale,95662,Cliveden,,,,no,,yes,,,,,,,,,
University of Ithra,Principality of the Mists,8/12/1978,13,Merritt College,12500 Campus Drive,Oakland,94619,,,,,,,,,,,,,,,,
Purgatorio,Barony of Allyshia,8/19/1978,13,Freshwater Valley Stables,455 Freshwater Rd,Eureka,95503,,,,,,,,,,,,,,,,
October Crown,Kingdom of the West,10/7/1978,13,Big Trees - Bort Meadows,7867 Redwood Rd,Oakland,94619,,,,,X,,,,,,,,,,,
Harvest Festival,Barony of Eskalya,10/7/1978,13,,,,,,,,,,,,,,,,,,,,
Ducal Prize,Kingdom of the West,10/14/1978,13,,,,,,,,,,,,,,,,,,,,
Anniversary Tournament ,Shire of Cloondara,10/21/1978,13,Pine Lake Park,Sloat Boulevard & Vale Ave,San Francisco,94132,,,,,,,,,,,,,,,,
All Hallows Eve Revel,Barony of Eskalya,10/28/1978,13,Mac Chalet at Elemendorf Air Force Base,Elmendorf AFB,Anchorage,99521,Hans the Horrible,,,,,,,,,,,,,,,
All Hallows Eve Revel,Barony of Fettburg,10/28/1978,13,,,,,,,,,,,,,,,,,,,,
Mists Warlord Tournament,Principality of the Mists,11/4/1978,13,Pear Grove - Briones Regional Park,2537 Reliez Valley Road,Martinez,94553,,,,,,,,,,,,,,,,
Middle Eastern Revel,Barony of Allyshia,11/11/1978,13,Redwood Park Lodge,490 E. Park Road ,Arcata,95521,Heather of Thistlebrae,,,,,,,,,,,,,,,
Golden Rivers Anniversary Banquet,Province of Golden Rivers,11/25/1978,13,,,,,,,,,,,,,,,,,,,,
Southern Shores Tournament,Province of Southern Shores,12/2/1978,13,Standford University - Robel Field,,Palo Alto,94304,Knud Kaukinen,,,,,,,,,,,,,,,
Wolfscairne Yule Revel,Shire of Wolfscairn,12/2/1978,13,Herman Son Hall,860 Western Ave.,Petaluma,94952,Brian Stewart or Lynne O'Deathe,,,,,,,,,,,,,,,
Silver Desert Yule,Province of Silver Desert,12/9/1978,13,Center for Religion and Life,4685 Lakeside Drive,Reno,85905,Joan of Acre,,,,,,,,,,,,,,,
Twelfth Night ,Kingdom of the West,1/6/1979,13,First Unitarian Church of Berkeley,1 Lawson Road,Berkeley,94707,,,,,,,,,,,,,,,,
War of Misunderstanding,Province of Southern Shores,3/31/1979,13,Ed Levin County Park,3100 Calaveras Road,Milpitas,95035,Linda of the Lakelands,,,,,,,,,,,,,,,
Beltane ,Kingdom of the West,4/28/1979,14,Big Trees - Bort Meadows,7867 Redwood Rd,Oakland,94619,,,,,X,,,,,,,,,,,
1st Coronet Tournament,Principality of the Mists,5/12/1979,14,San Francisco Theological Seminary,105 Seminary Rd,San Anselmo,94960,,,,,,,,,,,,,,,,
May Tournament and Feast,Province of Southern Shores,5/19/1979,14,Standford University - Robel Field,,Palo Alto,94304,,,,,,,,,,,,,,,,
New Moon Tournament,Shire of Cloondara,5/26/1979,14,Stern Grove,19th Ave. and Sloat,San Francisco,94132,,,,,,,,,,,,,,,,
June Crown,Kingdom of the West,6/23/1979,14,Big Trees - Bort Meadows,7867 Redwood Rd,Oakland,94619,,,,,X,,,,,,,,,,,
Mid-Summer Tournament,Barony of Eskalya,7/1/1979,14,Eklutna Campground,26.5 Glenn Highway,Anchorage,99645,,,,,,,,,,,,,,,,
Archery Tournament,Kingdom of the West,7/28/1979,14,Redwood Bowman Archery Club,10900 Skyline Boulevard,Oakland,94619,Jon Fitz-Rolf,,,,,,,,,,,,,,,
Silver Desert Quest,Province of Silver Desert,8/3/1979,14,Davis Creek Park,25 Davis Creek Rd,Washoe Valley,98704,Lisa Ross,,,,,,,,,,,,,,,
Purgatorio,Kingdom of the West,8/25/1979,14,Freshwater Valley Stables,455 Freshwater Rd,Eureka,95503,Maelgqyn,,,,,,,,,,,,,,,
Beggars' Burdica,Province of Southern Shores,9/16/1979,14,,,,,,,,,,,,,,,,,,,,
Tourney and Revel,Barony of Tarnmist,9/16/1979,14,,,,,,,,,,,,,,,,,,,,
May Tournament and Feast,Province of Southern Shores,9/18/1979,14,Mitchell Park/ Covenant Presbyterian Church,670 East Meadow Dr.,Palo Alto,94306,Eudaimon,,,,,,,,,,,,,,,
October Crown,Kingdom of the West,10/6/1979,14,Big Trees - Bort Meadows,7867 Redwood Rd,Oakland,94619,,,,,X,,,,,,,,,,,
St. Andrews Anniversary Tourney,Shire of Cloondara,10/20/1979,14,Stern Grove,19th Ave. and Sloat,San Francisco,94132,William Allen,,,,,,,,,,,,,,,
Anniversary Revel,Shire of Windy Meads,10/20/1979,14,,,,,,,,,,,,,,,,,,,,
Equestrian Arts Tournament,Province of Golden Rivers,10/28/1979,14,Orangevale Community Park,6826 Hazel Ave.,Orangevale,95662,Cliveden,,,,,,,,,,,,,,,
First Coronet Tourney,Principality of Cynagua,11/3/1979,14,Lodi Lake Park,1101 West Turner Road,Lodi,95240,,,,,,,,,,,,,,,,
Autumn Who-Ha,Barony of Allyshia,11/10/1979,14,Redwood Lodge - Acrata Redwood Park,490 E. Park Road ,Arcata,95521,,,,,,,,,,,,,,,,
Revel and Feast,College of Saint David's,11/10/1979,14,UC- Santa Cruz,1156 High Street,Santa Cruz,95064,Davous Windrider,,,,,,,,,,,,,,,
Southern Shores Tourney,Province of Southern Shores,11/17/1979,14,Stevens Creek County Park,11401 Stevens Canyon Road,Cupertino,95014,,,,,,,,,,,,,,,,
Coronetting Feast,Principality of the Mists,12/1/1979,14,Mills College - Student Union,5000 MacArthur Blvd. ,Oakland,94613,Anthony the Sinister,,,,,,,,,,,,,,,
Yule Revel,Shire of Cloondara,12/7/1979,14,Sigmund Stern Grove Clubhouse,19th Ave. and Sloat,San Francisco,94132,William Allan,,,,,,,,,,,,,,,
Cynagua Coronet,Principality of Cynagua,1/1/1980,14,Cache Creek Canyon Regional Park,1475 State Highway 16,Rumsey,95679,,,,,,,,,,,,,,,,
Twelfth Night Coronation,Kingdom of the West,1/5/1980,14,S.E.S. Hall,10428 East Stockton Boulevard,Elk Grove,95624,Kriemhild of Stonecroft,,,,,,,,,,,,,,,
Captaincy Tourney,Barony of Winter's Gate,1/26/1980,14,Married Students Housing Center,University of Alaska,Fairbanks,99775,Morgana n'ha Keridwen,,,,,,,,,,,,,,,
Eminently Impractical Revel,Shire of Cloondara,1/26/1980,14,Stern Grove,19th Ave. and Sloat,San Francisco,94132,Jessica of the Old Forest,,,,,,,,,,,,,,,
Winter Carnival,Province of Silver Desert,2/8/1980,14,,,Sierraville,,Gabrielle de Navarre,,,,,,,,,,,,,,,
Valentine Revel,Province of the Mists,2/16/1980,14,St. Mark's Episcopal Church,2300 Bancroft Way,Berkeley,94704,Nicorlynn of Caer Wydyr,,,,,,,,,,,,,,,
Lupercalia Festival,Barony of Allyshia,2/23/1980,14,Coopers Gulch Recreation Center,1720 10th Street,Eureka,95501,Braf o Envys,,,,,,,,,,,,,,,
"Winter Carnival, Part 2",Province of Silver Desert,2/23/1980,14,Galena Creek - Mount Rose Area,18250 Mount Rose Highway,Reno,89511,Bruce Chapman,,,,,,,,,,,,,,,
St. David's Day Tourney & Outing,College of Saint David's,3/1/1980,14,UC- Santa Cruz,1156 High Street,Santa Cruz,95064,Davous Windrider,,,,,,,,,,,,,,,
Mists/Cynagua War,Principality of the Mists,3/8/1980,14,,,,,,,,,,,,,,,,,,,,
Mists Warm-Up Tourney,Province of the Mists,3/15/1980,14,Tilden Regional Park - Airplane Field,2501 Grizzly Peak Blvd,Berkeley,94708,,,,,,,,,,,,,,,,
March Crown,Kingdom of the West,3/22/1980,14,Lodi Lake Park,1101 West Turner Road,Lodi,95240,,,,,,,,,,,,,,,,
War of the Minds,Province of Southern Shores,4/5/1980,14,Ed Levin County Park,3100 Calaveras Road,Milpitas,95035,Thomas the Incomplete,,,,,,,,,,,,,,,
Anniversary Banquet,Principality of the Mists,4/12/1980,14,St. Mark's Episcopal Church,2300 Bancroft Way,Berkeley,94704,Ysabel del Norte,,,,,,,,,,,,,,,
Championship Tourney,Shire of Windy Meads,4/12/1980,14,,,,,,,,,,,,,,,,,,,,
Royal Household Spring Progress,Province of Golden Rivers,4/26/1980,14,,,,,,,,,,,,,,,,,,,,
Beltane ,Kingdom of the West,5/3/1980,15,Coyote Hills Regional Park,8000 Patterson Ranch Road,Fremont,94555,,,,,,,,,,,,,,,,
Cynaguan Coronet,Principality of Cynagua,5/24/1980,15,Dog Valley Campground - Toyabe National Forest,Long Valley Road,Loyalton,96118,,,,,,,,,,,,,,,,
Mists Coronetting,Principality of the Mists,6/7/1980,15,Lone Mountain College,2350 Turk Street,San Francisco,94118,Lorion Astor,,,,,,,,,,,,,,,
Ithra,Kingdom of the West,6/14/1980,15,San Mateo College - Central Hall,1700 West Hillsdale Boulevard,San Mateo,94402,,,,,,,,,,,,,,,,
Captaincy Tourney,Barony of Winter's Gate,6/28/1980,15,,,Fairbanks,,Morgana N'ha Keridwen,,,,,,,,,,,,,,,
Silver Desert Quest,Province of Silver Desert,6/29/1980,15,Aspen Group Campground - Jackson Meadow Reservoir,Henness Pass Road,Comptonville,96126,Wilhelm von Schwartzwald,,,,,,,,,,,,,,,
10th Anniversary Tourney,Province of Southern Shores,7/5/1980,15,Villa Maria Group Picnic Area - Stevens Creek Park,11401 Stevens Canyon Rd.,Cupertino,95014,Linda of the Lakelands,,,,,,,,,,,,,,,
Cynaguan Investiture,Barony of Fettburg,7/12/1980,15,Senior Center,1191 Cahill Street,Turlock,95380,Sharra ni Perran,,,,,,,,,,,,,,,
Lord Defender of the North Tourney,Barony of Eskalya,7/19/1980,15,,,Eklutna,,Kylson Skyfyre,,,,,,,,,,,,,,,
Championship Tourney,Principality of the Mists,7/19/1980,15,Briones Regional Park,2537 Reliez Valley Road,Martinez,94553,,,,,,,,,,,,,,,,
Recapture of Wizard of Astral Fog,Shire of Cloondara,7/26/1980,15,Stern Grove,19th Ave. and Sloat,San Francisco,94132,,,,,,,,,,,,,,,,
Barbarian Tourney,Province of Silver Desert,8/2/1980,15,Dog Valley Campground - Toyabe National Forest,Long Valley Road,Loyalton,96118,Berserk of A'Bakki,,,,,,,,,,,,,,,
Purgatorio Coronation,Kingdom of the West,8/23/1980,15,Freshwater Valley Stables,455 Freshwater Rd,Eureka,95503,FfellyanDrac,,,,,,,,,,,,,,,
Championship Tourney,Barony of Eskalya,9/13/1980,15,Shady Lane Lodge,W. 81 Ave,Anchorage,99502,Sharane de Kondrak,,,,,,,,,,,,,,,
MacEanruig/Lucky War,Province of the Mists,9/13/1980,15,Mills College - Student Union,5000 MacArthur Blvd. ,Oakland,94613,Steven MacEanruig,,,,,,,,,,,,,,,
Province of the Mists Arts Celebration,Province of the Mists,9/20/1980,15,Tilden Regional Park,2501 Grizzly Peak Blvd,Berkeley,94708,,,,,,,,,,,,,,,,
October Crown,Kingdom of the West,10/4/1980,15,Big Trees - Bort Meadows,7867 Redwood Rd,Oakland,94619,,,,,X,,,,,,,,,,,
Mists Fall Coronet,Principality of the Mists,10/18/1980,15,Golden Gate Park - Elk Glen,Kezar Dr.,San Francisco,94121,,,,,,,,,,,,,,,,
Banquet and Revel,Shire of Windy Meads,10/18/1980,15,,,,,Ancilla the Packrat,,,,,,,,,,,,,,,
Province of the Mists Halloween Revel,Province of the Mists,10/31/1980,15,Berkeley Odd Fellows Hall,2288 Fulton Street,Berkeley,94704,Ella du Vergne,,,,,,,,,,,,,,,
Feast with St. David,College of Saint David's,11/15/1980,15,UC- Santa Cruz - Merrill Recreation Room,1156 High Street,Santa Cruz,95064,Davous Windrider,,,,,,,,,,,,,,,
Bringing in the Thieves,Barony of the Westermark,11/22/1980,15,Pescadero Creek Park,9500 Pescadero Creek Road,Loma Mar,94021,Thomas the Incomplete,,,,,,,,,,,,,,,
Anniversary Feast,Province of Golden Rivers,11/29/1980,15,Cordova Community Center,2197 Chase Dr.,Rancho Cordova,95670,Gwendwyn the Silent,,,,,,,,,,,,,,,
Coronet Investiture,Principality of the Mists,12/6/1980,15,Mills College - Student Union,5000 MacArthur Blvd. ,Oakland,94613,,,,,,,,,,,,,,,,
Wolfscairn Revel,Shire of Wolfscairn,12/20/1980,15,Sonoma Community Center,276 East Napa Street,Sonoma,95476,,,,,,,,,,,,,,,,
Yule Feast,Barony of Winter's Gate,12/27/1980,15,Oopik Coffee House- Eielson Air Force Base,,,,,,,,,,,,,,,,,,,
St. Andrews Seventh Night Feast and Revel,Shire of Cloondara,12/31/1980,15,Stern Grove,19th Ave. and Sloat,San Francisco,94132,Alexandra of Armageddon,,,,,,,,,,,,,,,
Twelfth Night,Kingdom of the West,1/3/1981,15,Exhibit Hall of the Marin Center,10 Ave. Of the Flags,San Rafael,94903,Aliste von Falkenhof,,,,,,,,,,,,,,,
Cynagua Coronet Investiture,Principality of Cynagua,1/31/1981,15,Rescue Community Center,4180 Green Valley Road,Rescue,95672,,,,,,,,,,,,,,,,
Valentine Revel,Province of the Mists,2/7/1981,15,St. Mark's Episcopal Church,2300 Bancroft Way,Berkeley,94704,Linda-Muirealll von Katzenbrasse,,,,,,,,,,,,,,,
Valentine Revel in Winter's Gate,Barony of Winter's Gate,2/14/1981,15,Wizard's Keep,,Fairbanks,,Hirsch Von Henford,,,,,,,,,,,,,,,
Valentine Revel,Barony of Vinhold,2/14/1981,15,Napa Youth Center,1st and Soscol,Napa,94559,Patrick O'Dyre,,,,,,,,,,,,,,,
Court of Love,Incipient Shire of Litae,2/20/1981,15,St. Mary's By-the-Sea Episcopal Church,Central Ave & 12th Streets,Pacific Grove,93950,,,,,,,,,,,,,,,,
Unbelted Fighters Tourney,Kingdom of the West,2/21/1981,15,Tilden Regional Park,2501 Grizzly Peak Blvd,Berkeley,94708,,,,,,,,,,,,,,,,
Second Annual Interprincipality Confrontation,Principality of the Mists,2/28/1981,15,Camp Berryessa,7900 Knoxville Road,Napa,94558,Ahmed ibn Tr'bai,,,,,,,,,,,,,,,
St. David's Day Revel,College of Saint David's,3/1/1981,15,UC- Santa Cruz - Merrill Recreation Room,1156 High Street,Santa Cruz,95064,Davous Windrider,,,,,,,,,,,,,,,
Mists Annual Provincial Champion and Warm-Up Tourney,Province of the Mists,3/14/1981,15,Tilden Regional Park - Airplane Field,2501 Grizzly Peak Blvd,Berkeley,94708,Richard of Seahaven,,,,,,,,,,,,,,,
A Cavalier Feast and Revel,Province of Golden Rivers,3/28/1981,15,Crawford's Barn,2715 Tiber Drive,Sacramento,95826,,,,,,,,,,,,,,,,
Second Annual Principality of the Mists Banquet,Principality of the Mists,4/4/1981,15,St. Mark's Episcopal Church,2300 Bancroft Way,Berkeley,94704,Astar,,,,,,,,,,,,,,,
April Fool's Masque,Province of Silver Desert,4/4/1981,15,,,,,Mirielle de Ferrier,,,,,,,,,,,,,,,
War Betwixt Fettburg and Quia de Corneille,Barony of Fettburg,4/5/1981,15,Salvatore Ranch,,Pioneer,,Bodo the Brutal,,,,,,,,,,,,,,,
Mists Spring Coronet,Principality of the Mists,4/11/1981,15,Camp Berryessa,7900 Knoxville Road,Napa,94558,,,,,,,,,,,,,,,,
Japanese Tourney,Province of Golden Rivers,4/18/1981,15,Orangevale Park,6826 Hazel Ave,Orangevale,95662,,,,,,,,,,,,,,,,
A Grand Tourney with Caid,Kingdom of the West,4/25/1981,15,Rancho El Chorro Park,Dairy Creek Road,San Luis Obispo,93408,Karolyn Johnston,,,,,,,,,,,,,,,
Beltane ,Kingdom of the West,5/2/1981,16,Chabot Park,9999 Redwood Road,Castro Valley,94546,Catalin di Napoli,,,,,,,,,,,,,,,
Mists Investiture,Principality of the Mists,5/9/1981,16,Mt. Madonna County Park,7850 Pole Line Road,Watsonville,95076,,,,,,,,,,,,,,,,
War of the Minds II,Province of Southern Shores,5/16/1981,16,UC- Santa Cruz - Performing Arts Building,1156 High Street,Santa Cruz,95064,Thomas the Incomplete,,,,,,,,,,,,,,,
May Tourney,Barony of Allyshia,5/16/1981,16,"Patrick's Point State Park, Beech Creek",4150 Patrick's Point Drive,Trinidad,95570,,,,,,,,,,,,,,,,
Crown Tourney,Kingdom of the West,5/21/1981,15,Orangevale Park,6826 Hazel Ave,Orangevale,95662,Charles Smokeater,,,,,,,,,,,,,,,
Spring Coronet Tourney,Principality of Cynagua,5/23/1981,16,Orangevale Park,6826 Hazel Ave,Orangevale,95662,Holly Alina de Montague,,,,,,,,,,,,,,,
Third Annual Windy Meads Championship Tourney,Shire of Windy Meads,5/30/1981,16,Cache Creek Canyon Regional Park,1475 California 16,Rumsey,95679,Gwendolyn the Rat Keeper,,,,,,,,,,,,,,,
Demonstration Tourney/ Spring Revel,Riding of Alia,5/30/1981,16,West Portal Branch Library,190 Lenox Way,San Francisco,94127,Deprodh of Rannoch,,,,,,,,,,,,,,,
June Crown,Kingdom of the West,6/20/1981,16,Berfoot County Park,,Henderson,,Lynne Farrover,,,,,,,,,,,,,,,
